Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Owner,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual,age_of_car
ritz,2014,1.8303005217723127,5.59,-0.2562244610375879,0,0,1,0,1,7
sx4,2013,2.179449471770337,9.54,0.1559105027720208,0,1,0,0,1,8
ciaz,2017,2.692582403567252,9.85,-0.7739690093234088,0,0,1,0,1,4
wagon r,2011,1.6881943016134133,4.15,-0.8177583492281797,0,0,1,0,1,10
swift,2014,2.1447610589527217,6.87,0.14174336339106547,0,1,0,0,1,7
vitara brezza,2018,3.0413812651491097,9.83,-0.8983564930881963,0,1,0,0,1,3
ciaz,2015,2.598076211353316,8.12,-0.46754666373096476,0,0,1,0,1,6
s cross,2015,2.5495097567963922,8.61,-0.09062348089183953,0,1,0,0,1,6
ciaz,2016,2.958039891549808,8.89,-0.42950145488429026,0,1,0,0,1,5
ciaz,2015,2.7294688127912363,8.92,0.13960541326630313,0,1,0,0,1,6
alto 800,2017,1.6881943016134133,3.6,-0.8967079532329579,0,0,1,0,1,4
ciaz,2015,2.6172504656604803,10.38,0.3619779846768251,0,1,0,0,1,6
ciaz,2015,2.7386127875258306,9.94,-0.5653256838947944,0,0,1,0,0,6
ertiga,2015,2.4698178070456938,7.71,-0.28198289627568845,0,0,1,0,1,6
dzire,2009,1.5,7.21,1.042696152714108,0,0,1,0,1,12
ertiga,2016,2.7838821814150108,10.79,0.1559105027720208,0,1,0,0,1,5
ertiga,2015,2.692582403567252,10.79,0.12185785138725186,0,1,0,0,1,6
ertiga,2016,2.7838821814150108,10.79,0.1559105027720208,0,1,0,0,1,5
wagon r,2015,1.8027756377319946,5.09,-0.03727776151373329,0,0,0,0,1,6
sx4,2010,1.6278820596099706,7.98,0.11577886067106014,0,0,1,0,1,11
alto k10,2016,1.6881943016134133,3.95,-0.307741331513789,0,0,1,0,1,5
ignis,2017,2.2135943621178655,5.71,-0.8898819678948613,0,0,1,0,1,4
sx4,2011,2.0976176963403033,8.01,0.33621954943872456,0,0,1,0,0,10
alto k10,2014,1.5811388300841898,3.46,0.21463973511489,0,0,1,0,1,7
wagon r,2013,1.70293863659264,4.41,0.5134118254416182,0,0,1,0,1,8
swift,2011,1.7320508075688772,4.99,-0.4365335077042917,0,0,1,0,1,10
swift,2013,2.0371548787463363,5.87,0.4685663896920852,0,0,1,0,1,8
swift,2017,2.449489742783178,6.49,-0.5344155616090738,0,0,1,1,1,4
alto k10,2010,1.396424004376894,3.95,0.19563000990917181,0,0,1,0,1,11
ciaz,2015,2.7294688127912363,10.38,0.20742737324822186,0,1,0,0,1,6
ritz,2012,1.760681686165901,5.98,0.37328593774635127,0,1,0,0,1,9
ritz,2011,1.5329709716755893,4.89,0.44440497743874685,0,0,1,0,1,10
swift,2014,2.224859546128699,7.49,0.0528767618196186,0,1,0,0,1,7
